instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Tribunalul VRANCEA,TribunalulVRANCEA,TribunalulVRANCEA,VRANCEA,tr,Curtea de Apel GALAŢI,91
Judecătoria ADJUD,JudecatoriaADJUD,JudecatoriaADJUD,VRANCEA,jd,Curtea de Apel GALAŢI,173
Judecătoria FOCŞANI,JudecatoriaFOCSANI,JudecatoriaFOCSANI,VRANCEA,jd,Curtea de Apel GALAŢI,231
Judecătoria PANCIU,JudecatoriaPANCIU,JudecatoriaPANCIU,VRANCEA,jd,Curtea de Apel GALAŢI,275
Curtea de Apel IAŞI,CurteadeApelIASI,CurteadeApelIASI,,ca,,45
Tribunalul IAŞI,TribunalulIASI,TribunalulIASI,IAŞI,tr,Curtea de Apel IAŞI,99
Tribunalul Militar IAŞI,TribunalulMilitarIASI,TribunalulMilitarIASI,IAŞI,tm,Curtea de Apel IAŞI,739
Judecătoria PAŞCANI,JudecatoriaPASCANI,JudecatoriaPASCANI,IAŞI,jd,Curtea de Apel IAŞI,866
Judecătoria HÂRLĂU,JudecatoriaHARLaU,JudecatoriaHARLAU,IAŞI,jd,Curtea de Apel IAŞI,239
Judecătoria IAŞI,JudecatoriaIASI,JudecatoriaIASI,IAŞI,jd,Curtea de Apel IAŞI,245
Judecătoria RĂDUCĂNENI,JudecatoriaRaDUCaNENI,JudecatoriaRADUCANENI,IAŞI,jd,Curtea de Apel IAŞI,286
Tribunalul VASLUI,TribunalulVASLUI,TribunalulVASLUI,VASLUI,tr,Curtea de Apel IAŞI,89
Judecătoria BÂRLAD,JudecatoriaBARLAD,JudecatoriaBARLAD,VASLUI,jd,Curtea de Apel IAŞI,189
Judecătoria HUŞI,JudecatoriaHUSI,JudecatoriaHUSI,VASLUI,jd,Curtea de Apel IAŞI,244
Judecătoria VASLUI,JudecatoriaVASLUI,JudecatoriaVASLUI,VASLUI,jd,Curtea de Apel IAŞI,333
Curtea de Apel ORADEA,CurteadeApelORADEA,CurteadeApelORADEA,,ca,,35
Tribunalul BIHOR,TribunalulBIHOR,TribunalulBIHOR,BIHOR,tr,Curtea de Apel ORADEA,111
Judecătoria ALESD,JudecatoriaALESD,JudecatoriaALESD,BIHOR,jd,Curtea de Apel ORADEA,177
Judecătoria BEIUŞ,JudecatoriaBEIUS,JudecatoriaBEIUS,BIHOR,jd,Curtea de Apel ORADEA,187
Judecătoria MARGHITA,JudecatoriaMARGHITA,JudecatoriaMARGHITA,BIHOR,jd,Curtea de Apel ORADEA,255
Judecătoria ORADEA,JudecatoriaORADEA,JudecatoriaORADEA,BIHOR,jd,Curtea de Apel ORADEA,271
Judecătoria SALONTA,JudecatoriaSALONTA,JudecatoriaSALONTA,BIHOR,jd,Curtea de Apel ORADEA,833
Tribunalul SATU MARE,TribunalulSATUMARE,TribunalulSATUMARE,SATU MARE,tr,Curtea de Apel ORADEA,83
Judecătoria CAREI,JudecatoriaCAREI,JudecatoriaCAREI,SATU MARE,jd,Curtea de Apel ORADEA,218
Judecătoria NEGREŞTI-OAŞ,JudecatoriaNEGRESTIOAS,JudecatoriaNEGRESTIOAS,SATU MARE,jd,Curtea de Apel ORADEA,266
Judecătoria SATU MARE,JudecatoriaSATUMARE,JudecatoriaSATUMARE,SATU MARE,jd,Curtea de Apel ORADEA,#N/A
Curtea de Apel PITEŞTI,CurteadeApelPITESTI,CurteadeApelPITESTI,,ca,,46
Tribunalul ARGEŞ,TribunalulARGES,TribunalulARGES,ARGEŞ,tr,Curtea de Apel PITEŞTI,109
Tribunalul Specializat ARGEŞ,TribunalulSpecializatARGES,#N/A,ARGEŞ,ts,Curtea de Apel PITEŞTI,1259
Judecătoria CĂMPULUNG,JudecatoriaCaMPULUNG,JudecatoriaCAMPULUNG,ARGEŞ,jd,Curtea de Apel PITEŞTI,205
Judecătoria COSTEŞTI,JudecatoriaCOSTESTI,JudecatoriaCOSTESTI,ARGEŞ,jd,Curtea de Apel PITEŞTI,214
Judecătoria CURTEA DE ARGEŞ,JudecatoriaCURTEADEARGES,JudecatoriaCURTEADEARGES,ARGEŞ,jd,Curtea de Apel PITEŞTI,216
Judecătoria PITEŞTI,JudecatoriaPITESTI,JudecatoriaPITESTI,ARGEŞ,jd,Curtea de Apel PITEŞTI,280
Judecătoria TOPOLOVENI,JudecatoriaTOPOLOVENI,JudecatoriaTOPOLOVENI,ARGEŞ,jd,Curtea de Apel PITEŞTI,828
Tribunalul VÂLCEA,TribunalulVALCEA,TribunalulVALCEA,VÂLCEA,tr,Curtea de Apel PITEŞTI,90
Judecătoria BĂLCEŞTI,JudecatoriaBaLCESTI,JudecatoriaBALCESTI,VÂLCEA,jd,Curtea de Apel PITEŞTI,185
Judecătoria BREZOI,JudecatoriaBREZOI,JudecatoriaBREZOI,VÂLCEA,jd,Curtea de Apel PITEŞTI,198
Judecătoria DRĂGĂŞANI,JudecatoriaDRaGaSANI,JudecatoriaDRAGASANI,VÂLCEA,jd,Curtea de Apel PITEŞTI,223
Judecătoria HOREZU,JudecatoriaHOREZU,JudecatoriaHOREZU,VÂLCEA,jd,Curtea de Apel PITEŞTI,241
Judecătoria RÂMNICU VALCEA,JudecatoriaRAMNICUVALCEA,JudecatoriaRAMNICUVALCEA,VÂLCEA,jd,Curtea de Apel PITEŞTI,#N/A
Curtea de Apel PLOIEŞTI,CurteadeApelPLOIESTI,CurteadeApelPLOIESTI,,ca,,42
Tribunalul BUZĂU,TribunalulBUZaU,TribunalulBUZAU,BUZĂU,tr,Curtea de Apel PLOIEŞTI,114
Judecătoria BUZĂU,JudecatoriaBUZaU,JudecatoriaBUZAU,BUZĂU,jd,Curtea de Apel PLOIEŞTI,200
Judecătoria PĂTÂRLAGELE,JudecatoriaPaTARLAGELE,JudecatoriaPATARLAGELE,BUZĂU,jd,Curtea de Apel PLOIEŞTI,277
Judecătoria POGOANELE,JudecatoriaPOGOANELE,JudecatoriaPOGOANELE,BUZĂU,jd,Curtea de Apel PLOIEŞTI,282
Judecătoria RÂMNICU SARAT,JudecatoriaRAMNICUSARAT,JudecatoriaRAMNICUSARAT,BUZĂU,jd,Curtea de Apel PLOIEŞTI,287
Tribunalul PRAHOVA,TribunalulPRAHOVA,TribunalulPRAHOVA,PRAHOVA,tr,Curtea de Apel PLOIEŞTI,105
Judecătoria CÂMPINA,JudecatoriaCAMPINA,JudecatoriaCAMPINA,PRAHOVA,jd,Curtea de Apel PLOIEŞTI,204
Judecătoria MIZIL,JudecatoriaMIZIL,JudecatoriaMIZIL,PRAHOVA,jd,Curtea de Apel PLOIEŞTI,259
